"","id","date","tavg"
"494","RSM00037472",2014-05-09,15.4
"495","RSM00037472",2014-05-10,16.7
"496","RSM00037472",2014-05-11,21.1
"497","RSM00037472",2014-05-12,18.1
"498","RSM00037472",2014-05-13,18.7
"499","RSM00037472",2014-05-14,19.9
"500","RSM00037472",2014-05-15,20.4
"501","RSM00037472",2014-05-16,18.1
"502","RSM00037472",2014-05-17,22.6
"503","RSM00037472",2014-05-18,20.6
"504","RSM00037472",2014-05-19,21.9
"505","RSM00037472",2014-05-20,19.4
"506","RSM00037472",2014-05-21,19.3
"507","RSM00037472",2014-05-22,20.2
"508","RSM00037472",2014-05-23,20.2
"509","RSM00037472",2014-05-24,NA
"510","RSM00037472",2014-05-25,20.8
"511","RSM00037472",2014-05-26,24.1
"512","RSM00037472",2014-05-27,22.7
"513","RSM00037472",2014-05-28,23.6
"514","RSM00037472",2014-05-29,24.6
"515","RSM00037472",2014-05-30,21.6
"516","RSM00037472",2014-05-31,21.9
"517","RSM00037472",2014-06-01,20.8
"518","RSM00037472",2014-06-02,21.1
"519","RSM00037472",2014-06-03,19.8
"520","RSM00037472",2014-06-04,21.3
"521","RSM00037472",2014-06-05,21.9
"522","RSM00037472",2014-06-06,21.8
"523","RSM00037472",2014-06-07,22.6
"524","RSM00037472",2014-06-08,23.3
"525","RSM00037472",2014-06-09,22.7
"526","RSM00037472",2014-06-10,25.8
"527","RSM00037472",2014-06-11,23.3
"528","RSM00037472",2014-06-12,21.3
"529","RSM00037472",2014-06-13,19.9
"530","RSM00037472",2014-06-14,23.1
"531","RSM00037472",2014-06-15,21.4
"532","RSM00037472",2014-06-16,23.3
"533","RSM00037472",2014-06-17,23.3
"534","RSM00037472",2014-06-18,24.6
"535","RSM00037472",2014-06-19,26.1
"536","RSM00037472",2014-06-20,24.1
"537","RSM00037472",2014-06-21,25.4
"538","RSM00037472",2014-06-22,25.4
"539","RSM00037472",2014-06-23,23.6
"540","RSM00037472",2014-06-24,24.2
"541","RSM00037472",2014-06-25,23.1
"542","RSM00037472",2014-06-26,25.1
"543","RSM00037472",2014-06-27,24.6
"544","RSM00037472",2014-06-28,24.5
"545","RSM00037472",2014-06-29,22.1
"546","RSM00037472",2014-06-30,21.9
"547","RSM00037472",2014-07-01,23.1
"548","RSM00037472",2014-07-02,24.3
"549","RSM00037472",2014-07-03,NA
"550","RSM00037472",2014-07-04,25.1
"551","RSM00037472",2014-07-05,25.3
"552","RSM00037472",2014-07-06,25.4
"553","RSM00037472",2014-07-07,NA
"554","RSM00037472",2014-07-08,24.7
"555","RSM00037472",2014-07-09,25.4
"556","RSM00037472",2014-07-10,25.6
"557","RSM00037472",2014-07-11,25.5
"558","RSM00037472",2014-07-12,26.3
"559","RSM00037472",2014-07-13,25.4
"560","RSM00037472",2014-07-14,24
"561","RSM00037472",2014-07-15,24.7
"562","RSM00037472",2014-07-16,25.3
"563","RSM00037472",2014-07-17,26
"564","RSM00037472",2014-07-18,26.4
"565","RSM00037472",2014-07-19,NA
"566","RSM00037472",2014-07-20,24.9
"567","RSM00037472",2014-07-21,23.7
"568","RSM00037472",2014-07-22,23.4
"569","RSM00037472",2014-07-23,23.7
"570","RSM00037472",2014-07-24,25.4
"571","RSM00037472",2014-07-25,25.4
"572","RSM00037472",2014-07-26,26.8
"573","RSM00037472",2014-07-27,28.1
"574","RSM00037472",2014-07-28,25.1
"575","RSM00037472",2014-07-29,23.5
"576","RSM00037472",2014-07-30,24.9
"577","RSM00037472",2014-07-31,24.2
"578","RSM00037472",2014-08-01,25.8
"579","RSM00037472",2014-08-02,25.5
"580","RSM00037472",2014-08-03,26.2
"581","RSM00037472",2014-08-04,26.6
"582","RSM00037472",2014-08-05,26.2
"583","RSM00037472",2014-08-06,26.4
"584","RSM00037472",2014-08-07,29.4
"585","RSM00037472",2014-08-08,28
"586","RSM00037472",2014-08-09,28.2
"587","RSM00037472",2014-08-10,27.8
"588","RSM00037472",2014-08-11,27.3
"589","RSM00037472",2014-08-12,27.3
"590","RSM00037472",2014-08-13,27.9
"591","RSM00037472",2014-08-14,26.7
"592","RSM00037472",2014-08-15,26.8
"593","RSM00037472",2014-08-16,25.4
"594","RSM00037472",2014-08-17,27.6
"595","RSM00037472",2014-08-18,26.2
"596","RSM00037472",2014-08-19,28.3
"597","RSM00037472",2014-08-20,28.7
"598","RSM00037472",2014-08-21,28.2
"599","RSM00037472",2014-08-22,26.7
"600","RSM00037472",2014-08-23,26
"601","RSM00037472",2014-08-24,NA
"602","RSM00037472",2014-08-25,26.8
"603","RSM00037472",2014-08-26,29.7
"604","RSM00037472",2014-08-27,28.4
"605","RSM00037472",2014-08-28,26.9
"606","RSM00037472",2014-08-29,29.7
"607","RSM00037472",2014-08-30,23.7
"608","RSM00037472",2014-08-31,24.6
"609","RSM00037472",2014-09-01,24.6
"610","RSM00037472",2014-09-02,25.6
"611","RSM00037472",2014-09-03,25.9
"612","RSM00037472",2014-09-04,24.9
"613","RSM00037472",2014-09-05,20.8
"614","RSM00037472",2014-09-06,23.5
"615","RSM00037472",2014-09-07,24
"616","RSM00037472",2014-09-08,24.9
"617","RSM00037472",2014-09-09,23.1
"618","RSM00037472",2014-09-10,26.4
"619","RSM00037472",2014-09-11,24.3
"620","RSM00037472",2014-09-12,23.1
"621","RSM00037472",2014-09-13,22.9
"622","RSM00037472",2014-09-14,23.1
"623","RSM00037472",2014-09-15,20
"624","RSM00037472",2014-09-16,20.1
"625","RSM00037472",2014-09-17,NA
"626","RSM00037472",2014-09-18,18.4
"627","RSM00037472",2014-09-19,18.9
"628","RSM00037472",2014-09-20,19.9
"629","RSM00037472",2014-09-21,NA
"630","RSM00037472",2014-09-22,16.3
"631","RSM00037472",2014-09-23,16.4
"632","RSM00037472",2014-09-24,19
"633","RSM00037472",2014-09-25,17.9
"634","RSM00037472",2014-09-26,14.7
"635","RSM00037472",2014-09-27,15.1
"636","RSM00037472",2014-09-28,18.7
"637","RSM00037472",2014-09-29,14.6
"638","RSM00037472",2014-09-30,16.9
"639","RSM00037472",2014-10-01,17.7
"640","RSM00037472",2014-10-02,13.8
"641","RSM00037472",2014-10-03,11.3
"642","RSM00037472",2014-10-04,13.8
"643","RSM00037472",2014-10-05,15.4
"644","RSM00037472",2014-10-06,13.6
"645","RSM00037472",2014-10-07,10.8
"646","RSM00037472",2014-10-08,13.9
"647","RSM00037472",2014-10-09,14.7
"648","RSM00037472",2014-10-10,13.8
"649","RSM00037472",2014-10-11,NA
"650","RSM00037472",2014-10-12,15.6
"651","RSM00037472",2014-10-13,12.7
"652","RSM00037472",2014-10-14,14.9
"653","RSM00037472",2014-10-15,NA
"654","RSM00037472",2014-10-16,16.1
"655","RSM00037472",2014-10-17,15.1
"656","RSM00037472",2014-10-18,15.8
"657","RSM00037472",2014-10-19,8.9
"658","RSM00037472",2014-10-20,5.7
"659","RSM00037472",2014-10-21,8.3
"660","RSM00037472",2014-10-22,12.6
"661","RSM00037472",2014-10-23,NA
"662","RSM00037472",2014-10-24,9.7
"663","RSM00037472",2014-10-25,1
"664","RSM00037472",2014-10-26,0.4
"665","RSM00037472",2014-10-27,7.1
"666","RSM00037472",2014-10-28,10.1
"667","RSM00037472",2014-10-29,11.1
"668","RSM00037472",2014-10-30,12.3
"669","RSM00037472",2014-10-31,13.3
"670","RSM00037472",2014-11-01,NA
"671","RSM00037472",2014-11-02,NA
"672","RSM00037472",2014-11-03,NA
"673","RSM00037472",2014-11-04,NA
"674","RSM00037472",2014-11-05,NA
"675","RSM00037472",2014-11-06,NA
"676","RSM00037472",2014-11-07,NA
